# pool = Plasma_Microbiome_Study
# prefix = CMI
# platform = Illumina
# run_date = 2019-09-13
# center_name = UCSDCMI
# sample_sheet = 2019_09_06_CMI_Plasma_1-4_samplesheet
# well_conc_units = ng/uL
# sequencing_method = Sequencing by synthesis
# center_project_name = Plasma_Microbiome
# experiment_design_description = frozen plasma metagenomics
# library_construction_protocol = KHP
# latitude = 32.5
# elevation = 193
# longitude = -117.25
# latitude_units = Decimal degrees
# longitude_units = Decimal degrees
# volume_extracted_dna = 40
# volume_extracted_dna_units = uL
# physical_specimen_remaining = True
# human_dna_concentration_units = ng/uL
# bacterial_dna_concentration_units = ng/uL
# qiita_prep_deprecated = False
# qiita_owner = CMI
# volume_extracted_dna_unit = ul
# human_dna_concentration_unit = ng_per_ul
# sequencing_meth = Sequencing by synthesis
X.SampleID,well_conc,sample_well,sample_plate,sample_type
12667.X3038783,12667.X3038783,0.219,J9,CMI_Plasma_12667_P3,plasma
12667.X2061208,12667.X2061208,0.23,A10,CMI_Plasma_12667_P2,plasma
12667.X2342424,12667.X2342424,0.17,C22,CMI_Plasma_12667_P2,plasma
12667.X3109641,12667.X3109641,0.198,B10,CMI_Plasma_12667_P4,plasma
12667.X3039831,12667.X3039831,0.184,I21,CMI_Plasma_12667_P1,plasma
12667.X2472497,12667.X2472497,0.232,H9,CMI_Plasma_12667_P3,plasma
12667.X2059598,12667.X2059598,0.197,O11,CMI_Plasma_12667_P1,plasma
12667.X2068980,12667.X2068980,0.171,O22,CMI_Plasma_12667_P2,plasma
12667.X2055743,12667.X2055743,0.181,E9,CMI_Plasma_12667_P1,plasma
12667.X2170593,12667.X2170593,0.226,L11,CMI_Plasma_12667_P3,plasma
12667.X2061316,12667.X2061316,0.189,A15,CMI_Plasma_12667_P1,plasma
12667.X3037415,12667.X3037415,0.212,A17,CMI_Plasma_12667_P1,plasma
12667.X2062715,12667.X2062715,0.255,O5,CMI_Plasma_12667_P1,plasma
12667.X3015659,12667.X3015659,0.229,M16,CMI_Plasma_12667_P2,plasma
12667.X2062455,12667.X2062455,0.327,K12,CMI_Plasma_12667_P2,plasma
12667.X2070271,12667.X2070271,0.135,A19,CMI_Plasma_12667_P1,plasma
12667.X2488349,12667.X2488349,0.184,M22,CMI_Plasma_12667_P2,plasma
12667.X3043708,12667.X3043708,0.26,M10,CMI_Plasma_12667_P2,plasma
12667.X2044156,12667.X2044156,0.235,K11,CMI_Plasma_12667_P1,plasma
12667.X2483184,12667.X2483184,0.242,F6,CMI_Plasma_12667_P4,plasma
12667.X2067157,12667.X2067157,0.152,C21,CMI_Plasma_12667_P1,plasma
12667.X3001839,12667.X3001839,0.258,F9,CMI_Plasma_12667_P3,plasma
12667.X2062809,12667.X2062809,0.182,I19,CMI_Plasma_12667_P1,plasma
12667.X3122400,12667.X3122400,0.232,J10,CMI_Plasma_12667_P4,plasma
12667.X2037715,12667.X2037715,0.194,A7,CMI_Plasma_12667_P1,plasma
12667.X2392039,12667.X2392039,0.21,G24,CMI_Plasma_12667_P2,plasma
12667.X3081786,12667.X3081786,0.194,F23,CMI_Plasma_12667_P3,plasma
12667.X2051273,12667.X2051273,0.222,M5,CMI_Plasma_12667_P1,plasma
12667.X2076970,12667.X2076970,0.196,M18,CMI_Plasma_12667_P2,plasma
12667.X2073293,12667.X2073293,0.208,I16,CMI_Plasma_12667_P2,plasma
12667.X2378267,12667.X2378267,0.14,E18,CMI_Plasma_12667_P2,plasma
12667.X2052566,12667.X2052566,0.206,K9,CMI_Plasma_12667_P1,plasma
12667.X2064759,12667.X2064759,0.177,C19,CMI_Plasma_12667_P1,plasma
12667.X3012989,12667.X3012989,0.278,G13,CMI_Plasma_12667_P1,plasma
12667.X3073917,12667.X3073917,0.249,F13,CMI_Plasma_12667_P3,plasma
12667.X2339235,12667.X2339235,0.224,G12,CMI_Plasma_12667_P2,plasma
12667.X3074166,12667.X3074166,0.224,F17,CMI_Plasma_12667_P3,plasma
12667.X2069208,12667.X2069208,0.232,M15,CMI_Plasma_12667_P1,plasma
12667.X2060511,12667.X2060511,0.219,E13,CMI_Plasma_12667_P1,plasma
12667.X3099893,12667.X3099893,0.292,L10,CMI_Plasma_12667_P4,plasma
12667.X3053590,12667.X3053590,0.189,G14,CMI_Plasma_12667_P2,plasma
12667.X2073298,12667.X2073298,0.236,E14,CMI_Plasma_12667_P2,plasma
12667.X2454595,12667.X2454595,0.253,N5,CMI_Plasma_12667_P3,plasma
12667.X2067131,12667.X2067131,0.164,I18,CMI_Plasma_12667_P2,plasma
12667.X3124859,12667.X3124859,0.186,N8,CMI_Plasma_12667_P4,plasma
12667.X3003105,12667.X3003105,0.278,J17,CMI_Plasma_12667_P3,plasma
12667.X2059586,12667.X2059586,0.251,G11,CMI_Plasma_12667_P1,plasma
12667.X2066114,12667.X2066114,0.231,K23,CMI_Plasma_12667_P1,plasma
12667.X2050331,12667.X2050331,0.256,K5,CMI_Plasma_12667_P1,plasma
12667.X2147547,12667.X2147547,0.32,P7,CMI_Plasma_12667_P3,plasma
12667.X3023798,12667.X3023798,0.182,E22,CMI_Plasma_12667_P2,plasma
12667.X3034380,12667.X3034380,0.284,P17,CMI_Plasma_12667_P3,plasma
12667.X3064254,12667.X3064254,0.158,E20,CMI_Plasma_12667_P2,plasma
12667.X3024195,12667.X3024195,0.239,B7,CMI_Plasma_12667_P3,plasma
12667.X3076646,12667.X3076646,0.207,J19,CMI_Plasma_12667_P3,plasma
12667.X3109548,12667.X3109548,0.278,D8,CMI_Plasma_12667_P4,plasma
12667.X2062861,12667.X2062861,0.28,O15,CMI_Plasma_12667_P1,plasma
12667.X3122336,12667.X3122336,0.228,D6,CMI_Plasma_12667_P4,plasma
12667.X3092766,12667.X3092766,0.209,H13,CMI_Plasma_12667_P3,plasma
12667.X3071967,12667.X3071967,0.186,I22,CMI_Plasma_12667_P2,plasma
12667.X2061359,12667.X2061359,0.198,E17,CMI_Plasma_12667_P1,plasma
12667.X3096081,12667.X3096081,0.222,J21,CMI_Plasma_12667_P3,plasma
12667.X2480300,12667.X2480300,0.175,M9,CMI_Plasma_12667_P1,plasma
12667.X3030817,12667.X3030817,0.219,L9,CMI_Plasma_12667_P3,plasma
12667.X3097243,12667.X3097243,0.24,B8,CMI_Plasma_12667_P4,plasma
12667.X2076870,12667.X2076870,0.262,F5,CMI_Plasma_12667_P3,plasma
12667.X3090550,12667.X3090550,0.217,D7,CMI_Plasma_12667_P3,plasma
12667.X2062843,12667.X2062843,0.235,I12,CMI_Plasma_12667_P2,plasma
12667.X3097210,12667.X3097210,0.864,L23,CMI_Plasma_12667_P3,plasma
12667.X3064282,12667.X3064282,0.213,H23,CMI_Plasma_12667_P3,plasma
12667.X2068559,12667.X2068559,0.263,M21,CMI_Plasma_12667_P1,plasma
12667.X3031283,12667.X3031283,0.181,P5,CMI_Plasma_12667_P3,plasma
12667.X2041787,12667.X2041787,0.181,O7,CMI_Plasma_12667_P1,plasma
12667.X2055755,12667.X2055755,0.883,O21,CMI_Plasma_12667_P1,plasma
12667.X3054480,12667.X3054480,0.194,D21,CMI_Plasma_12667_P3,plasma
12667.X3030973,12667.X3030973,0.462,H11,CMI_Plasma_12667_P3,plasma
12667.X2043129,12667.X2043129,0.223,G5,CMI_Plasma_12667_P1,plasma
12667.X2076954,12667.X2076954,0.258,H5,CMI_Plasma_12667_P3,plasma
12667.X2064352,12667.X2064352,0.134,G18,CMI_Plasma_12667_P2,plasma
12667.X2493385,12667.X2493385,0.256,D5,CMI_Plasma_12667_P3,plasma
12667.X2069204,12667.X2069204,0.191,G10,CMI_Plasma_12667_P2,plasma
12667.X2105130,12667.X2105130,0.331,K16,CMI_Plasma_12667_P2,plasma
12667.X2454540,12667.X2454540,0.249,O6,CMI_Plasma_12667_P2,plasma
12667.X2062504,12667.X2062504,0.228,M17,CMI_Plasma_12667_P1,plasma
12667.X2330723,12667.X2330723,0.229,O16,CMI_Plasma_12667_P2,plasma
12667.X2342267,12667.X2342267,0.191,A16,CMI_Plasma_12667_P2,plasma
12667.X3040432,12667.X3040432,0.193,D13,CMI_Plasma_12667_P3,plasma
12667.X2403373,12667.X2403373,0.217,C20,CMI_Plasma_12667_P2,plasma
12667.X2490051,12667.X2490051,0.293,L5,CMI_Plasma_12667_P3,plasma
12667.X3054832,12667.X3054832,0.242,H6,CMI_Plasma_12667_P4,plasma
12667.X2064367,12667.X2064367,0.165,E16,CMI_Plasma_12667_P2,plasma
12667.X2068956,12667.X2068956,0.259,M6,CMI_Plasma_12667_P2,plasma
12667.X2471017,12667.X2471017,0.285,P21,CMI_Plasma_12667_P3,plasma
12667.X3043603,12667.X3043603,0.163,C8,CMI_Plasma_12667_P2,plasma
12667.X3093550,12667.X3093550,0.178,B17,CMI_Plasma_12667_P3,plasma
12667.X2068928,12667.X2068928,0.177,G23,CMI_Plasma_12667_P1,plasma
12667.X2056691,12667.X2056691,0.254,E6,CMI_Plasma_12667_P2,plasma
12667.X3124209,12667.X3124209,0.212,N10,CMI_Plasma_12667_P4,plasma
12667.X2457964,12667.X2457964,0.267,H17,CMI_Plasma_12667_P3,plasma
12667.X3130165,12667.X3130165,0.273,F10,CMI_Plasma_12667_P4,plasma
12667.X2050079,12667.X2050079,0.213,I17,CMI_Plasma_12667_P1,plasma
12667.X2060998,12667.X2060998,0.283,G6,CMI_Plasma_12667_P2,plasma
12667.X3095232,12667.X3095232,0.311,F19,CMI_Plasma_12667_P3,plasma
12667.X3062808,12667.X3062808,0.121,A18,CMI_Plasma_12667_P2,plasma
12667.X3021397,12667.X3021397,0.242,J15,CMI_Plasma_12667_P3,plasma
12667.X3097041,12667.X3097041,0.205,N23,CMI_Plasma_12667_P3,plasma
12667.X2066293,12667.X2066293,0.205,I9,CMI_Plasma_12667_P1,plasma
12667.X3062186,12667.X3062186,0.171,B19,CMI_Plasma_12667_P3,plasma
12667.X2051138,12667.X2051138,0.595,G17,CMI_Plasma_12667_P1,plasma
12667.X2065050,12667.X2065050,0.209,K6,CMI_Plasma_12667_P2,plasma
12667.X2074003,12667.X2074003,0.274,M8,CMI_Plasma_12667_P2,plasma
12667.X2065210,12667.X2065210,0.204,K20,CMI_Plasma_12667_P2,plasma
12667.X2068135,12667.X2068135,0.231,A8,CMI_Plasma_12667_P2,plasma
12667.X2454883,12667.X2454883,0.214,I10,CMI_Plasma_12667_P2,plasma
12667.X2064365,12667.X2064365,0.318,A21,CMI_Plasma_12667_P1,plasma
12667.X2450452,12667.X2450452,0.22,I23,CMI_Plasma_12667_P1,plasma
12667.X2109273,12667.X2109273,0.297,A22,CMI_Plasma_12667_P2,plasma
12667.X2043400,12667.X2043400,0.262,A9,CMI_Plasma_12667_P1,plasma
12667.X3074050,12667.X3074050,0.261,P15,CMI_Plasma_12667_P3,plasma
12667.X2171346,12667.X2171346,0.184,O18,CMI_Plasma_12667_P2,plasma
12667.X3023585,12667.X3023585,0.278,N17,CMI_Plasma_12667_P3,plasma
12667.X3095966,12667.X3095966,0.231,H10,CMI_Plasma_12667_P4,plasma
12667.X3096432,12667.X3096432,0.2,J23,CMI_Plasma_12667_P3,plasma
12667.X3095786,12667.X3095786,0.295,H21,CMI_Plasma_12667_P3,plasma
12667.X2066035,12667.X2066035,0.14,G21,CMI_Plasma_12667_P1,plasma
12667.X2069618,12667.X2069618,0.423,A14,CMI_Plasma_12667_P2,plasma
12667.X3039490,12667.X3039490,0.199,E19,CMI_Plasma_12667_P1,plasma
12667.X3004746,12667.X3004746,0.235,N7,CMI_Plasma_12667_P3,plasma
12667.X3121108,12667.X3121108,0.264,L6,CMI_Plasma_12667_P4,plasma
12667.X2062564,12667.X2062564,0.202,O17,CMI_Plasma_12667_P1,plasma
12667.X2070873,12667.X2070873,0.199,K10,CMI_Plasma_12667_P2,plasma
12667.X2055863,12667.X2055863,0.216,G9,CMI_Plasma_12667_P1,plasma
12667.X2064845,12667.X2064845,0.152,E23,CMI_Plasma_12667_P1,plasma
12667.X2049520,12667.X2049520,0.212,M7,CMI_Plasma_12667_P1,plasma
12667.Control.61,12667.Control.61,0.113,D3,CMI_Plasma_12667_P3,control blank DNA extraction
12667.Control.26,12667.Control.26,0.216,H7,CMI_Plasma_12667_P3,plasma
12667.Control.7,12667.Control.7,0.195,B14,CMI_Plasma_12667_P4,plasma
12667.Control.17,12667.Control.17,0.209,M4,CMI_Plasma_12667_P2,plasma
12667.Control.3,12667.Control.3,0,B3,CMI_Plasma_12667_P3,control blank DNA extraction
12667.Control.67,12667.Control.67,2.926,A2,CMI_Plasma_12667_P2,bacteria monoculture
12667.Control.59,12667.Control.59,0.063,E4,CMI_Plasma_12667_P2,control blank DNA extraction
12667.Control.95,12667.Control.95,0,L24,CMI_Plasma_12667_P4,control blank library prep
12667.Control.80,12667.Control.80,0,N1,CMI_Plasma_12667_P3,bacteria monoculture
12667.Control.16,12667.Control.16,0.186,M3,CMI_Plasma_12667_P1,plasma
12667.Control.23,12667.Control.23,0.209,P4,CMI_Plasma_12667_P4,plasma
12667.Control.73,12667.Control.73,0,M2,CMI_Plasma_12667_P2,bacteria monoculture
12691.PC34,12691.PC34,1.973,K22,CMI_Plasma_12691_P2,plasma
12691.PC61,12691.PC61,0.274,F12,CMI_Plasma_12691_P4,plasma
12691.PC46,12691.PC46,0.317,P13,CMI_Plasma_12691_P3,plasma
12691.PC16,12691.PC16,0.307,K21,CMI_Plasma_12691_P1,plasma
12691.PC19,12691.PC19,1.039,A6,CMI_Plasma_12691_P2,plasma
12691.PC08,12691.PC08,0.298,M11,CMI_Plasma_12691_P1,plasma
12691.PC32,12691.PC32,0.227,G20,CMI_Plasma_12691_P2,plasma
12691.PC29,12691.PC29,0.211,G16,CMI_Plasma_12691_P2,plasma
12691.PC31,12691.PC31,0.182,K18,CMI_Plasma_12691_P2,plasma
12691.PC04,12691.PC04,0.287,K7,CMI_Plasma_12691_P1,plasma
12691.PC53,12691.PC53,0.174,D23,CMI_Plasma_12691_P3,plasma
12691.PC60,12691.PC60,0.697,P10,CMI_Plasma_12691_P4,plasma
12691.Control.62,12691.Control.62,0,F3,CMI_Plasma_12691_P3,control blank DNA extraction
12691.Control.92,12691.Control.92,0,F24,CMI_Plasma_12691_P4,control blank library prep
12691.Control.78,12691.Control.78,0,J1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.89,12691.Control.89,0,C11,CMI_Plasma_12691_P1,control blank library prep
12691.Control.11,12691.Control.11,0.203,J4,CMI_Plasma_12691_P4,plasma
12691.Control.60,12691.Control.60,0.058,G4,CMI_Plasma_12691_P2,control blank DNA extraction
12691.Control.86,12691.Control.86,0.002,L2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.34,12691.Control.34,0.191,I7,CMI_Plasma_12691_P1,plasma
12691.Control.68,12691.Control.68,0.294,C2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.91,12691.Control.91,0,M13,CMI_Plasma_12691_P1,control blank library prep
12691.Control.58,12691.Control.58,0.069,C4,CMI_Plasma_12691_P2,control blank DNA extraction
12691.Control.21,12691.Control.21,0.179,O4,CMI_Plasma_12691_P2,plasma
12691.Control.66,12691.Control.66,0.078,H4,CMI_Plasma_12691_P4,control blank DNA extraction
12691.Control.33,12691.Control.33,0.251,H12,CMI_Plasma_12691_P4,plasma
12691.Control.46,12691.Control.46,0,P1,CMI_Plasma_12691_P3,control blank library prep
12691.Control.25,12691.Control.25,0.195,G8,CMI_Plasma_12691_P2,plasma
12691.Control.63,12691.Control.63,0.071,H3,CMI_Plasma_12691_P3,control blank DNA extraction
12691.Control.64,12691.Control.64,0.122,D4,CMI_Plasma_12691_P4,control blank DNA extraction
12691.Control.84,12691.Control.84,0,H2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.82,12691.Control.82,0.3,D2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.49,12691.Control.49,0.326,C1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.88,12691.Control.88,0,A11,CMI_Plasma_12691_P1,control blank library prep
12691.Control.38,12691.Control.38,0.191,C12,CMI_Plasma_12691_P2,plasma
12691.Control.72,12691.Control.72,0,K2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.8,12691.Control.8,0.197,I3,CMI_Plasma_12691_P1,plasma
12691.Control.31,12691.Control.31,0.203,K14,CMI_Plasma_12691_P2,plasma
12691.Control.4,12691.Control.4,0.182,B4,CMI_Plasma_12691_P4,control blank DNA extraction
12691.Control.29,12691.Control.29,0.197,B11,CMI_Plasma_12691_P3,plasma
12691.Control.79,12691.Control.79,0,L1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.43,12691.Control.43,0.21,J12,CMI_Plasma_12691_P4,plasma
12691.Control.44,12691.Control.44,0,O1,CMI_Plasma_12691_P1,control blank library prep
12691.Control.54,12691.Control.54,0,M1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.87,12691.Control.87,0.003,N2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.51,12691.Control.51,0,G1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.97,12691.Control.97,0.002,P24,CMI_Plasma_12691_P4,control blank library prep
12691.Control.50,12691.Control.50,0.005,E1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.52,12691.Control.52,0,I1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.85,12691.Control.85,0,J2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.6,12691.Control.6,0.201,P12,CMI_Plasma_12691_P4,plasma
12691.Control.96,12691.Control.96,0,N24,CMI_Plasma_12691_P4,control blank library prep
12691.Control.15,12691.Control.15,0.203,L4,CMI_Plasma_12691_P4,plasma
12691.Control.57,12691.Control.57,0.069,G3,CMI_Plasma_12691_P1,control blank DNA extraction
12691.Control.77,12691.Control.77,0.014,H1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.9,12691.Control.9,0.221,I4,CMI_Plasma_12691_P2,plasma
12691.Control.48,12691.Control.48,2.915,A1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.5,12691.Control.5,0.228,N12,CMI_Plasma_12691_P4,plasma
12691.Control.10,12691.Control.10,0.24,J3,CMI_Plasma_12691_P3,plasma
12691.Control.1,12691.Control.1,0.153,A3,CMI_Plasma_12691_P1,control blank DNA extraction
12691.Control.36,12691.Control.36,0.219,J7,CMI_Plasma_12691_P3,plasma
12691.Control.28,12691.Control.28,0.242,A12,CMI_Plasma_12691_P2,plasma
12691.Control.71,12691.Control.71,0,I2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.19,12691.Control.19,0.206,N4,CMI_Plasma_12691_P4,plasma
12691.Control.18,12691.Control.18,0.193,N3,CMI_Plasma_12691_P3,plasma
12691.Control.32,12691.Control.32,0.243,L13,CMI_Plasma_12691_P3,plasma
12691.Control.74,12691.Control.74,2.795,B1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.13,12691.Control.13,0.201,K4,CMI_Plasma_12691_P2,plasma
12691.Control.2,12691.Control.2,0.124,A4,CMI_Plasma_12691_P2,control blank DNA extraction
12691.Control.24,12691.Control.24,0.196,G7,CMI_Plasma_12691_P1,plasma
12691.Control.76,12691.Control.76,0.002,F1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.37,12691.Control.37,0.203,J8,CMI_Plasma_12691_P4,plasma
12691.Control.27,12691.Control.27,0.226,H8,CMI_Plasma_12691_P4,plasma
12691.Control.30,12691.Control.30,0.213,B12,CMI_Plasma_12691_P4,plasma
12691.Control.93,12691.Control.93,0,H24,CMI_Plasma_12691_P4,control blank library prep
12691.Control.53,12691.Control.53,0,K1,CMI_Plasma_12691_P1,bacteria monoculture
12691.Control.90,12691.Control.90,0,K13,CMI_Plasma_12691_P1,control blank library prep
12691.Control.35,12691.Control.35,0.2,I8,CMI_Plasma_12691_P2,plasma
12691.Control.12,12691.Control.12,0.201,K3,CMI_Plasma_12691_P1,plasma
12691.Control.47,12691.Control.47,0,P2,CMI_Plasma_12691_P4,control blank library prep
12691.Control.14,12691.Control.14,0.226,L3,CMI_Plasma_12691_P3,plasma
12691.Control.42,12691.Control.42,0.244,N13,CMI_Plasma_12691_P3,plasma
12691.Control.56,12691.Control.56,0.08,E3,CMI_Plasma_12691_P1,control blank DNA extraction
12691.Control.83,12691.Control.83,0.008,F2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.41,12691.Control.41,0.161,M14,CMI_Plasma_12691_P2,plasma
12691.Control.65,12691.Control.65,0.082,F4,CMI_Plasma_12691_P4,control blank DNA extraction
12691.Control.22,12691.Control.22,0.198,P3,CMI_Plasma_12691_P3,plasma
12691.Control.39,12691.Control.39,0.199,D11,CMI_Plasma_12691_P3,plasma
12691.Control.75,12691.Control.75,0.315,D1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.69,12691.Control.69,0.006,E2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.70,12691.Control.70,0,G2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.55,12691.Control.55,0.093,C3,CMI_Plasma_12691_P1,control blank DNA extraction
12691.Control.94,12691.Control.94,0,J24,CMI_Plasma_12691_P4,control blank library prep
12691.Control.81,12691.Control.81,2.816,B2,CMI_Plasma_12691_P4,bacteria monoculture
12691.Control.40,12691.Control.40,0.201,D12,CMI_Plasma_12691_P4,plasma
12691.Control.20,12691.Control.20,0.2,O3,CMI_Plasma_12691_P1,plasma
12691.Control.45,12691.Control.45,0,O2,CMI_Plasma_12691_P2,control blank library prep
12692.Control.78,12692.Control.78,0,J1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.92,12692.Control.92,0,F24,CMI_Plasma_12692_P4,control blank library prep
12692.Control.76,12692.Control.76,0.002,F1,CMI_Plasma_12692_P3,bacteria monoculture
12692.Control.19,12692.Control.19,0.206,N4,CMI_Plasma_12692_P4,plasma
12692.Control.59,12692.Control.59,0.063,E4,CMI_Plasma_12692_P2,control blank DNA extraction
12692.Control.6,12692.Control.6,0.201,P12,CMI_Plasma_12692_P4,plasma
12692.Control.40,12692.Control.40,0.201,D12,CMI_Plasma_12692_P4,plasma
12692.Control.11,12692.Control.11,0.203,J4,CMI_Plasma_12692_P4,plasma
12692.Control.86,12692.Control.86,0.002,L2,CMI_Plasma_12692_P4,bacteria monoculture
12692.Control.46,12692.Control.46,0,P1,CMI_Plasma_12692_P3,control blank library prep
12692.Control.22,12692.Control.22,0.198,P3,CMI_Plasma_12692_P3,plasma
12691.Control.7,12691.Control.7,0.195,B14,CMI_Plasma_12691_P4,plasma
12691.Control.73,12691.Control.73,0,M2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.3,12691.Control.3,0,B3,CMI_Plasma_12691_P3,control blank DNA extraction
12691.Control.17,12691.Control.17,0.209,M4,CMI_Plasma_12691_P2,plasma
12691.Control.26,12691.Control.26,0.216,H7,CMI_Plasma_12691_P3,plasma
12691.Control.67,12691.Control.67,2.926,A2,CMI_Plasma_12691_P2,bacteria monoculture
12691.Control.95,12691.Control.95,0,L24,CMI_Plasma_12691_P4,control blank library prep
12691.Control.23,12691.Control.23,0.209,P4,CMI_Plasma_12691_P4,plasma
12691.Control.16,12691.Control.16,0.186,M3,CMI_Plasma_12691_P1,plasma
12691.Control.80,12691.Control.80,0,N1,CMI_Plasma_12691_P3,bacteria monoculture
12691.Control.61,12691.Control.61,0.113,D3,CMI_Plasma_12691_P3,control blank DNA extraction
12691.Control.59,12691.Control.59,0.063,E4,CMI_Plasma_12691_P2,control blank DNA extraction
